route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,agency_id
1,1,NOYELLES-GODAULT - LENS - LIEVIN,,3,,b71f21,ffffff,TADAO
2,2,BARLIN - HOUDAIN - BEUVRY,,3,,ebbd00,ffffff,TADAO
3,3,VENDIN-LE-VIEIL - LENS - AVION,,3,,ec621d,ffffff,TADAO
4,4,ANNEZIN - BEUVRY,,3,,008aa0,ffffff,TADAO
5,5,LENS - CARVIN - LIBERCOURT,,3,,316f7b,ffffff,TADAO
6,6,AUCHEL - DIVION - BRUAY-LA-BUISSIERE,,3,,009c84,ffffff,TADAO
7,7,HENIN-BEAUMONT - DOURGES - LIBERCOURT,,3,,cd2068,ffffff,TADAO
10,10,BEUVRY - BETHUNE - OBLINGHEM,,3,,f08482,ffffff,TADAO
11,11,NOYELLES-LES-VERMELLES - GRENAY - LIEVIN - LENS,,3,,31b7bc,ffffff,TADAO
12,12,BÉTHUNE - NŒUX-LES-MINES - BARLIN,,3,,3594d2,ffffff,TADAO
14,14,BRUAY-LA-BUISSIERE - DIVION - CAUCHY-A-LA-TOUR,,3,,3594d2,ffffff,TADAO
15,15,CARVIN - HENIN - COURCELLES-LES-LENS,,3,,32b298,ffffff,TADAO
18,18,BRUAY-LA-BUISSIERE - RUITZ - MAZINGARBE - LENS,,3,,c74d88,ffffff,TADAO
19,19,HENIN-BEAUMONT - LENS - LIEVIN,,3,,865d52,ffffff,TADAO
20,20,BETHUNE - AUCHEL - LOZINGHEM,,3,,8f59a0,ffffff,TADAO
21,21,LENS - FOUQUIERES-LEZ-LENS - LEFOREST,,3,,f0aa00,ffffff,TADAO
22,22,BETHUNE - VERMELLES - LENS,,3,,32b298,ffffff,TADAO
23,23,LEFOREST - COURCELLES-LES-LENS - HENIN-BEAUMONT,,3,,3594d2,ffffff,TADAO
24,24,BETHUNE - NOEUX-LES-MINES - HERSIN-COUPIGNY,,3,,8f59a0,ffffff,TADAO
25,25,LENS - BILLY-MONTIGNY - HENIN-BEAUMONT,,3,,c74d88,ffffff,TADAO
27,27,HENIN-BEAUMONT - HARNES - PONT-A-VENDIN,,3,,f0aa00,ffffff,TADAO
30,30,LOZINGHEM - AUCHEL - CAUCHY-A-LA-TOUR,,3,,d9473e,ffffff,TADAO
31,31,LIEVIN FOND D’ANGLET - CENTRE VILLE - SITE 11/19,,3,,96ae24,ffffff,TADAO
33,33,VENDIN-LE-VIEIL - HARNES - LIBERCOURT,,3,,96ae24,ffffff,TADAO
35,35,LA BASSEE - LENS - AVION,,3,,8f59a0,ffffff,TADAO
36,36,HOUDAIN - BRUAY-LA-BUISSIERE,,3,,d9473e,ffffff,TADAO
37,37,LENS - WINGLES - AUCHY-LES-MINES,,3,,32b298,ffffff,TADAO
39,39,LENS - ANNAY-SOUS-LENS - CARVIN,,3,,c53b6a,ffffff,TADAO
41,41,LENS - Béhal-Jean Zay / Gare / Louvre / Béhal-Jean,,3,,7e3375,ffffff,TADAO
47,47,OIGNIES - LIBERCOURT - CARVIN,,3,,ee9a4a,ffffff,TADAO
50,50,BETHUNE - GOSNAY - BRUAY-LA-BUISSIERE,,3,,808d8a,ffffff,TADAO
