route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,44519021,9254340,LIEVIN - Université,1,,iti_48fe6807-1c52-4d9f-8054-89a0
1,44519029,9254339,NOYELLES-GODAULT - Europe - Quai 04,0,,iti_86ee1b6a-7bb2-4174-b0ad-c9c0
3,44519012,9254348,VENDIN-LE-VIEIL - Centre Commercial,1,,iti_f013f666-2145-4749-9fc1-8c67
3,44519010,9254349,AVION - Lebas,0,,iti_4c2e45c4-4463-49db-a204-7d63
7,44521838,7683858,HENIN-BEAUMONT - Espace Lumière,0,,iti_53efc359-73f2-4162-bdf1-85d3
7,44521839,7683869,LIBERCOURT - Gare - Quai 3,1,,iti_4c7bda42-9bdd-4b43-9af9-dc68
7,44521836,7683856,HENIN-BEAUMONT - Espace Lumière,0,,iti_53efc359-73f2-4162-bdf1-85d3
7,44521837,7683859,HENIN-BEAUMONT - Espace Lumière,0,,iti_53efc359-73f2-4162-bdf1-85d3
7,44521834,7683862,HENIN-BEAUMONT - Espace Lumière,0,,iti_53efc359-73f2-4162-bdf1-85d3
7,44521835,7683857,HENIN-BEAUMONT - Espace Lumière,0,,iti_53efc359-73f2-4162-bdf1-85d3
7,44521832,7683860,HENIN-BEAUMONT - Espace Lumière,0,,iti_53efc359-73f2-4162-bdf1-85d3
7,44521833,7683863,HENIN-BEAUMONT - Espace Lumière,0,,iti_53efc359-73f2-4162-bdf1-85d3
7,44521846,7683866,HENIN-BEAUMONT - Espace Lumière,0,,iti_53efc359-73f2-4162-bdf1-85d3
5,44521847,7683845,LENS - Gares - Quai 11,1,,iti_65aacc88-9a29-4fc8-9396-8c0c
7,44521844,7683864,HENIN-BEAUMONT - Espace Lumière,0,,iti_53efc359-73f2-4162-bdf1-85d3
7,44521845,7683867,HENIN-BEAUMONT - Espace Lumière,0,,iti_53efc359-73f2-4162-bdf1-85d3
7,44521842,7683870,LIBERCOURT - Gare - Quai 3,1,,iti_4c7bda42-9bdd-4b43-9af9-dc68
7,44521843,7683865,HENIN-BEAUMONT - Espace Lumière,0,,iti_53efc359-73f2-4162-bdf1-85d3
7,44521840,7683868,HENIN-BEAUMONT - Espace Lumière,0,,iti_53efc359-73f2-4162-bdf1-85d3
7,44521841,7683871,LIBERCOURT - Gare - Quai 3,1,,iti_4c7bda42-9bdd-4b43-9af9-dc68
5,44521854,7683842,LENS - Gares - Quai 11,1,,iti_65aacc88-9a29-4fc8-9396-8c0c
5,44521855,7683853,LENS - Gares - Quai 11,1,,iti_65aacc88-9a29-4fc8-9396-8c0c
5,44521852,7683840,LIBERCOURT - Gare - Quai 4,0,,iti_a8ce4dcd-262d-4130-b233-f362
5,44521853,7683843,LENS - Gares - Quai 11,1,,iti_65aacc88-9a29-4fc8-9396-8c0c
5,44521850,7683846,LENS - Gares - Quai 11,1,,iti_65aacc88-9a29-4fc8-9396-8c0c
5,44521851,7683841,LENS - Gares - Quai 11,1,,iti_65aacc88-9a29-4fc8-9396-8c0c
5,44521848,7683844,LENS - Gares - Quai 11,1,,iti_65aacc88-9a29-4fc8-9396-8c0c
5,44521849,7683847,LENS - Gares - Quai 11,1,,iti_65aacc88-9a29-4fc8-9396-8c0c
5,44521862,7683850,LENS - Gares - Quai 11,1,,iti_65aacc88-9a29-4fc8-9396-8c0c
5,44521860,7683848,LENS - Gares - Quai 11,1,,iti_65aacc88-9a29-4fc8-9396-8c0c
5,44521861,7683851,LENS - Gares - Quai 11,1,,iti_65aacc88-9a29-4fc8-9396-8c0c
5,44521858,7683854,LENS - Gares - Quai 11,1,,iti_65aacc88-9a29-4fc8-9396-8c0c
5,44521859,7683849,LENS - Gares - Quai 11,1,,iti_65aacc88-9a29-4fc8-9396-8c0c
5,44521856,7683852,LENS - Gares - Quai 11,1,,iti_65aacc88-9a29-4fc8-9396-8c0c
7,44521857,7683855,HENIN-BEAUMONT - Espace Lumière,0,,iti_53efc359-73f2-4162-bdf1-85d3
6,44521742,7683734,BRUAY-LA-BUISSIERE - Europe - Quai 5,0,,iti_8d0bbfc4-88d8-4648-9916-0482
6,44521740,7683735,BRUAY-LA-BUISSIERE - Europe - Quai 5,0,,iti_8d0bbfc4-88d8-4648-9916-0482
6,44521738,7683732,BRUAY-LA-BUISSIERE - Europe - Quai 5,0,,iti_8d0bbfc4-88d8-4648-9916-0482
6,44521736,7683733,BRUAY-LA-BUISSIERE - Europe - Quai 5,0,,iti_8d0bbfc4-88d8-4648-9916-0482
6,44521750,7683730,BRUAY-LA-BUISSIERE - Europe - Quai 5,0,,iti_8d0bbfc4-88d8-4648-9916-0482
6,44521748,7683731,BRUAY-LA-BUISSIERE - Europe - Quai 5,0,,iti_8d0bbfc4-88d8-4648-9916-0482
6,44521746,7683728,BRUAY-LA-BUISSIERE - Europe - Quai 5,0,,iti_8d0bbfc4-88d8-4648-9916-0482
